datetime,city,state,country,shape,duration (seconds),comments,date posted,latitude,longitude 
1972-10-10 19:00:00,harlan county,ky,us,circle,1200.0,On october 10 1972 myselfmy 5yrs.daughter2 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge,9/15/2005,36.8430556,-83.3219444
1972-10-10 22:30:00,west bloomfield,mi,us,disk,120.0,The UFO was so close my battery in the car went to zero amps stalling the engine turning off my lights and radio.,8/14/2007,42.5377778,-83.2330556
1973-10-10 19:00:00,niantic,ct,us,disk,1800.0,Oh what a night &#33  Two (2) saucer-shaped glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.,9/24/2003,41.3252778,-72.1936111
1973-10-10 23:00:00,bermuda nas,,bm,light,20.0,saw fast moving blip on the radar scope thin went outside and saw it again.,1/11/2002,32.364167,-64.678611
1974-10-10 19:30:00,hudson,ma,us,other,2700.0,Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l,8/10/1999,42.3916667,-71.5666667
1974-10-10 21:30:00,cardiff (uk/wales),,gb,disk,1200.0,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely and in the distance there was a wood called Ca,2/1/2007,51.5,-3.2
1974-10-10 23:00:00,hudson,ks,us,light,1200.0,The light chased us.,7/25/2004,38.1055556,-98.6597222
1975-10-10 17:00:00,north charleston,sc,us,light,360.0,Several Flashing UFO lights over Charleston Naval Base in S.C.,2/14/2008,32.8544444,-79.975
1976-10-10 20:30:00,washougal,wa,us,oval,60.0,Three extremely large lights hanging above nearby trees.,2/7/2014,45.5827778,-122.3522222
1976-10-10 22:00:00,stoke mandeville (uk/england),,gb,cigar,3.0,White object over Buckinghamshire UK.,12/12/2009,51.783333,-0.783333
1977-10-10 12:00:00,san antonio,tx,us,other,30.0,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,2/24/2005,29.4238889,-98.4933333
1977-10-10 22:00:00,louisville,ky,us,light,30.0,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.,3/17/2004,38.2541667,-85.7594444
1978-10-10 02:00:00,elmont,ny,us,rectangle,300.0,A memory I will never forget that happened meny years ago.,2/1/2007,40.7008333,-73.7133333
1979-10-10 00:00:00,poughkeepsie,ny,us,chevron,900.0,1/4 moon-like  its &#39chord&#39 or flat side parallel to horizon  bright orange-red glow  completely silent no features.,4/16/2005,41.7002778,-73.9213889
1979-10-10 22:00:00,saddle lake (canada),ab,ca,triangle,270.0,Lights far above  that glance; then flee from the celestrialhavens only to appear again.,1/19/2005,53.970571,-111.689885
1979-10-10 22:00:00,san diego,ca,us,oval,180.0,My 2nd UFO sighting October 1979,8/5/2001,32.7152778,-117.1563889
1979-10-10 22:00:00,security,co,us,unknown,1800.0,very low clouds all different colorssearch lights were seen shining down out of the clouds on the houses and streets. this event was s,1/28/1999,38.7583333,-104.7425
1980-10-10 19:00:00,houston,tx,us,sphere,180.0,Sphere No lights  moving through neighborhoods above tree tops over busy streets in Houston in 1980.,4/16/2005,29.7630556,-95.3630556
1980-10-10 22:00:00,dallas,tx,us,unknown,300.0,Strange shape shifting craft of pure light energy.,10/28/2002,32.7833333,-96.8
1980-10-10 23:30:00,manchester,nh,us,light,300.0,A red glowing sphere stopped and watched me.,11/21/2010,42.9955556,-71.4552778
1982-10-10 07:00:00,gisborne (new zealand),,nz,disk,120.0,gisborne nz 1982 wainui beach to sponge bay,1/11/2002,-38.662334,178.017649
1984-10-10 05:00:00,houston,tx,us,circle,60.0,2 experience with unkown,4/18/2012,29.7630556,-95.3630556
1984-10-10 12:00:00,traverse city,mi,us,other,120.0,translucent football seen over city airport,10/7/2003,44.7630556,-85.6205556
1984-10-10 22:00:00,white plains,ny,us,formation,20.0,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif,8/10/1999,41.0338889,-73.7633333
1985-10-10 20:25:00,leeds (uk/england),,gb,triangle,600.0,three light in the sky that led to a big black silent triangle shaped craft.,3/4/2003,53.8,-1.583333
1986-10-10 20:00:00,holmes/pawling,ny,us,chevron,180.0,Football Field Sized Chevron with bright white lights on front moving slowly with absolutely no sound,10/8/2007,41.523427,-73.646795
1988-10-10 18:00:00,milwaukee,wi,us,triangle,600.0,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.,8/7/2007,43.0388889,-87.9063889
1988-10-10 21:00:00,new gloucester,me,us,unknown,120.0,I'm still afraid to look at the sky at night.,1/10/2009,43.9627778,-70.2830556
1988-10-10 22:00:00,boulder,co,us,light,60.0,Three Stars Begin to Move Randomly Stop Change Direction Move Again And Then Vanish,7/16/2006,40.015,-105.27
1988-10-10 22:45:00,seattle (ballard area),wa,us,unknown,2.0,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.,4/27/2004,47.6063889,-122.3308333
1989-10-10 00:00:00,calabasas,ca,us,disk,300.0,Unidentified object on Mulholland Highway.,12/14/2004,34.1577778,-118.6375
1989-10-10 21:00:00,centralia,wa,us,triangle,60.0,A huge triangularly shaped silent object that blotted out 25 degrees of the sky lighted by four glowing points.,4/27/2004,46.7163889,-122.9530556
1989-10-10 21:00:00,kranklin,ky,us,triangle,180.0,Triangle seen in franklin Ky - october 1989,5/11/2005,36.722263,-86.577218
1990-10-10 21:00:00,ashburn,ga,us,triangle,120.0,Translucent Craft that makes No Sound While Moving,10/8/2007,31.7058333,-83.6533333
1991-10-10 22:00:00,frisco,nc,us,unknown,1800.0,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30,1/28/1999,35.235,-75.6288889
